,Name,URL,Category_en,Category_cn,Country,Language,Description,Is_Alive,Notes
1,中国国际问题研究院（CIIS）,https://www.ciis.org.cn,politics_ir,政治与国际关系,中国,中文,外交部直属顶级智库，中国外交政策核心研究与建言机构，国际议题研究权威性拉满，是中国国际关系领域的官方标杆,yes,
2,上海国际问题研究院（SIIS）,https://www.siis.org.cn,politics_ir,政治与国际关系,中国,中文,华东地区顶级国关智库，东亚区域合作、中美关系、东盟研究的权威机构，中日韩智库合作的核心平台。,yes,
3,中国社科院世界经济与政治研究所,www.iwep.org.cn,politics_ir,政治与国际关系,中国,中文,中国社科院下属的核心研究所，专注于全球经济、国际政治、国际战略等领域的理论与政策研究,yes,
4,察哈尔学会,https://www.charhar.org.cn,politics_ir,政治与国际关系,中国,中文,中国代表性的非官方外交与国际关系智库，专注于公共外交、和平学及“二轨外交”，并连续多年跻身全球顶尖智库榜单,yes,
5,中国人民外交学会,https://www.cpifa.org,politics_ir,政治与国际关系,中国,中文,成立于1949年，是新中国第一个从事人民外交的机构，与外交部关系密切，开展同世界各国政治活动家、智库及学术机构的交流,yes,
6,中国共产党中央委员会官网,https://www.ccps.gov.cn,politics_ir,政治与国际关系,中国,中文,中国执政党官方平台，核心政策、外交立场的权威发布渠道,yes,
7,卡内基国际和平基金会 (Carnegie Endowment),https://carnegieendowment.org,politics_ir,政治与国际关系,美国,英文,全球首家全球性智库，在华盛顿、莫斯科、北京、贝鲁特、布鲁塞尔和新德里设有研究中心，以国际和平与安全研究著称,yes,
8,兰德公司（RAND Corporation）,https://www.rand.org,politics_ir,政治与国际关系,美国,英文,全球顶级国家安全与战略智库，军事战略、地缘冲突、大国博弈研究的权威机构，研究成果被全球军方与政府广泛引用,yes,
9,美国民主党全国委员会官网,https://democrats.org,politics_ir,政治与国际关系,美国,英文,美国执政党官方平台，民主党外交政策、国际立场的权威发布渠道,yes,
10,"外交关系协会（Council on Foreign Relations, CFR）",https://www.cfr.org,politics_ir,政治与国际关系,美国,英文,美国最权威的外交智库，全球国际关系领域的标杆，《外交事务》杂志主办方，深刻影响美国外交政策制定,yes,
11,布鲁金斯学会（Brookings Institution）,https://www.brookings.edu,politics_ir,政治与国际关系,美国,英文,全球排名第一的综合性智库，大国关系、全球治理、地缘政治研究的全球标杆，学术与政策影响力双顶尖,yes,
12,战略与国际研究中心（CSIS）,https://www.csis.org,politics_ir,政治与国际关系,美国,英文,美国亚太研究、国家安全、中美关系领域的顶级智库，是美国国会与政府外交决策的核心参考来源,yes ,
13,查塔姆研究所（皇家国际事务研究所，Chatham House）,https://www.chathamhouse.org,politics_ir,政治与国际关系,英国,英文,欧洲历史最悠久、全球影响力最强的国关智库之一，“查塔姆规则” 的发源地，是欧洲外交政策、全球治理研究的标杆,yes ,
14,国际战略研究所（IISS）,https://www.iiss.org,politics_ir,政治与国际关系,英国,英文,全球顶级安全与战略智库，年度《军事平衡》报告发布方，军事战略、地缘冲突、国际安全研究的全球权威,yes,
15,《国际事务》（International Affairs）官网,https://academic.oup.com/ia,politics_ir,政治与国际关系,英国,英文,查塔姆研究所主办的顶刊，欧洲国际关系领域核心学术期刊，政策评论与理论研究兼具,yes ,
16,日本国际问题研究所（JIIA）,https://www.jiia.or.jp/en,politics_ir,政治与国际关系,日本,日语,日本最顶级的外交智库，日本外交部关联机构，东亚区域研究、中日关系、日本外交战略的权威机构，亚洲排名前列的国关智库,yes ,
17,日本自由民主党官网,https://www.jimin.jp,politics_ir,政治与国际关系,日本,日语,日本执政党官方平台，日本外交政策、安全战略的权威发布渠道,yes,
18,世宗研究所（Sejong Institute）,https://www.sejong.org,politics_ir,政治与国际关系,韩国,韩语,韩国最顶级的国际关系与安全智库，朝鲜半岛问题、东北亚地缘政治、中韩关系研究的权威机构,yes ,
19,印尼战略与国际问题研究中心（CSIS Indonesia）,https://www.csis.or.id,politics_ir,政治与国际关系,印度尼西亚,印尼语,东南亚历史最悠久、影响力最强的国关智库，东盟研究、东南亚地缘政治、中印尼关系研究的核心权威机构,yes,
20,伊朗政治与国际研究所（IPIS）,https://ipis.ir/en,politics_ir,政治与国际关系,伊朗,波斯语,伊朗外交部直属顶级国关智库，伊朗外交政策、中东地缘政治、伊核问题研究的官方核心机构,yes,
21,中华人民共和国国防部官网,https://www.mod.gov.cn,military,军事,中国,中文,中国军方最高官方平台，国防政策、军队动态、国防白皮书、防务外交、军事新闻的唯一官方发布渠道，是军事研究的核心一手信源,yes ,
22,中国军网（解放军报社官网,https://www.81.cn,military,军事,中国,中文,中央军委机关报《解放军报》主办的军方官方媒体，军队建设、军事训练、国防科技、军人相关资讯的权威发布平台,yes ,
23,日本防卫省官网,https://www.mod.go.jp,military,军事,日本,日文,日本自卫队官方平台，日本防卫政策、自卫队建设、东亚安全动态、美日同盟相关的权威发布渠道,yes ,
24,韩国国防部官网,https://www.mnd.go.kr,military,军事,韩国,韩文,朝鲜半岛防务核心信源，韩军动态、韩美同盟、朝鲜半岛军事安全政策的官方发布平台,yes ,
25,美国国防部（五角大楼）官网,https://www.defense.gov,military,军事,美国,英文,全球最具影响力的军方官方平台，美军国防政策、军费预算、全球军事部署、防务报告、联合作战指令的一手信源,yes,
26,美国国防高级研究计划局（DARPA）官网,https://www.darpa.mil,military,军事,美国,英文,美军前沿军事科技研发核心机构，全球军事黑科技、未来作战体系、国防尖端技术的权威发布平台,yes,
27,《防务新闻》（Defense News）,https://www.defensenews.com,military,军事,美国,英文,全球最权威防务专业媒体，覆盖全球各国军事装备、防务政策、军队动态、军工产业，是全球防务领域的行业标杆,yes,
28,《简氏防务周刊》（Jane's Defence Weekly）,https://www.janes.com,military,军事,美国,英文,全球军事装备与防务情报的绝对权威，简氏集团出品，军事装备识别、各国军力数据、防务技术发展的核心数据库，是军事研究与军迷圈的必备信源,yes ,
29,《航空周刊与空间技术》（Aviation Week）,https://www.aviationweek.com,military,军事,美国,英文,全球航空航天、军事航空、导弹与防务技术的顶级媒体，战机、无人机、航天防务、军用航电领域的核心信源,yes ,
30,皇家联合军种国防研究所（RUSI）,https://www.rusi.org,military,军事,英国,英文,全球历史最悠久的防务智库，欧洲军事战略、北约防务、全球反恐、军事技术发展研究的标杆机构,yes ,
31,印尼国防研究院（Lemhannas）,https://www.lemhannas.go.id,military,军事,印度尼西亚印尼语,,印尼总统府直属部级防务智库，东盟防务一体化、东南亚军事安全、区域反恐研究的核心权威机构,yes,
32,伊朗战略研究中心（CSR）,https://www.csr.ir,military,军事,伊朗,波斯语,伊朗最高国家安全委员会下属核心智库，中东军事战略、伊核问题、地区冲突、伊朗国防政策研究的权威机构,yes,
33,多哈国际事务研究所（DIIS）,https://www.dohainstitute.edu.qa,military,军事,卡塔尔,阿拉伯语,卡塔尔顶级防务智库，中东军事冲突、海湾防务安全、阿拉伯世界军事外交研究的核心平台,yes,
34,海湾研究中心（GRC）,https://www.grc.ae,military,军事,阿联酋,阿拉伯语,阿联酋顶级智库，海湾国家军事建设、能源防务、中东地缘军事冲突研究的标杆机构,yes,
35,DefenceTalk Forum,https://www.defencetalk.com,military,军事,美国,英语,全球老牌国际军事论坛，覆盖各国防务建设、装备发展、军事冲突、军工产业，多国家军迷与业内人士交流的核心平台,yes,
36,《朝日新闻》军事频道,https://www.asahi.com/military,military,军事,日本,日语,日本主流大报军事核心板块，日本防卫政策、自卫队动态、东亚安全局势的权威报道平台,yes,
37,《朝鲜日报》军事频道,https://www.chosun.com/military,military,军事,韩国,韩语,韩国主流大报军事板块，朝鲜半岛防务动态、韩军建设、韩美同盟相关的核心报道渠道,yes,
38,凤凰网军事频道,https://mil.ifeng.com,military,军事,中国,中文,华语圈影响力领先的军事媒体，全球防务新闻、东亚军事动态、军工科技深度报道的核心渠道,yes,
39,俄罗斯红星电视台（Звезда）官网,https://eng.mil.ru/,military,军事,俄罗斯,俄语,俄罗斯国防部直属官方媒体，俄军训练、装备动态、国防科技、军事演习纪录片的权威发布平台，是俄军对外宣传与信息发布的核心窗口,yes,
40,法国武装力量部（国防部）官网,https://www.defense.gouv.fr,military,军事,法国,法语,法国军方最高官方平台，法国国防政策、法军动态、核威慑战略、欧洲防务合作、海外军事行动的权威发布渠道，是法国军事领域的唯一官方核心信源,yes,
,,,,,,,,,
1,KED Global,https://www.kedglobal.com/,economy,经济,韩国,英文,报道韩国企业、产业和金融市场动态，为国际读者提供经济情报和投资分析,yes,
2,经济日报,https://www.ce.cn/,economy,经济,中国,中文,国家级权威经济报刊，专注宏观经济政策、产业经济、金融市场报道,yes,
3,KIF,https://www.kif.re.kr,economy,经济,韩国,韩文,韩国顶尖的金融政策智库，专注于宏观经济、金融市场和金融政策分析，为政策制定者和金融机构提供深度的研究报告,yes,
4,国际货币基金组织,https://www.imf.org,economy,经济,国际,英文,国际货币基金组织官网，发布经济政策分析、全球金融稳定报告及各成员国经济数据,yes,
5,世界银行,https://www.worldbank.org,economy,经济,国际,英文,世界银行集团官网，提供全球发展数据、减贫研究、项目贷款及经济政策分析,yes,
6,美国全国经济研究所,https://www.nber.org,economy,经济,美国,英文,美国非营利经济研究机构，发布工作论文、经济周期测定及权威经济分析,yes,
7,Al-Eqtisadiah,https://www.aleqt.com,economy,经济,沙特阿拉伯,阿拉伯语,沙特知名阿拉伯语经济日报，专注于海湾地区财经新闻、石油市场与商业动态,yes,
8,中国国家统计局,http://www.stats.gov.cn,economy,经济,中国,中文,发布国民经济运行数据、人口普查、GDP及CPI等指标,yes,
9,中国人民银行 (PBoC),http://www.pbc.gov.cn,economy,经济,中国,中文,发布货币政策、金融统计数据、人民币汇率及央行公告,yes,
10,韩国银行 (BOK),https://www.bok.or.kr,economy,经济,韩国,韩文,涵盖利率决议、经济统计、金融市场分析及支付系统信息,yes,
11,印度尼西亚银行(Bank Indonesia),https://www.bi.go.id,economy,经济,印度尼西亚,印度尼西亚语,印尼央行官网，发布货币政策、汇率、支付系统法规及经济研究报告,yes,
12,英国国家统计局 (ONS),https://www.ons.gov.uk,economy,经济,英国,英文,英国官方统计机构，发布国民经济、人口、劳动力市场及地区GDP等官方数据,yes,
13,Bisnis,https://www.bisnis.com,economy,经济,印度尼西亚,印度尼西亚语,印尼领先的商业与财经新闻门户，最权威的商业媒体之一，是分析股市、投资趋势的核心信源,yes,
14,日本银行 (BOJ),https://www.boj.or.jp,economy,经济,日本,日语,提供货币政策会议纪要、经济统计、金融系统报告及研究论文,yes,
15,ZAWYA,https://www.zawya.com,economy,经济,阿联酋,英文,伦敦证券交易所集团旗下，为中东和北非专业人士提供实时股市、商品和货币新闻与分析,yes,
16,英国国家经济与社会研究所,https://www.niesr.ac.uk,economy,经济,英国,英文,英国历史最悠久的独立经济研究机构，发布宏观经济预测与政策分析,yes,
17,国际清算银行,https://www.bis.org,economy,经济,国际,英文,发布全球金融体系报告、巴塞尔协议及央行合作研究,yes,
18,ERIA,http://www.eria.org,economy,经济,印度尼西亚,英文,总部位于雅加达的国际经济研究机构，专注于东盟及东亚地区的经济一体化、产业政策及发展研究，被誉为世界领先的经济智库之一,yes,
19,德意志联邦银行,https://www.bundesbank.de,economy,经济,德国,英文,发布欧元区及德国经济数据、金融稳定报告,yes,
20,Financial Tribune,https://financialtribune.com,economy,经济,伊朗,英文,伊朗领先的英文经济媒体，报道伊朗及国际的能源、贸易、工业与金融发展,yes,
21,中华人民共和国最高人民法院,http://www.court.gov.cn,legal,法律,中国,中文,中国最高审判机关官网，发布司法解释、典型案例、工作报告及庭审直播,yes,
22,英国最高法院,https://www.supremecourt.uk,legal,法律,英国,英文,英国最高法院官网，提供判决全文、案件审理日程及法院年度报告,yes,
23,日本最高裁判所,https://www.courts.go.jp,legal,法律,日本,日文,日本最高裁判所官网，提供判例数据库、法院组织概况及司法统计信息,yes,
24,韩国大法院,https://eng.scourt.go.kr,legal,法律,韩国,英文,韩国大法院英文官网，提供韩国最高法院判例、诉讼规则及司法制度介绍,yes,
25,印度尼西亚最高法院,https://www.mahkamahagung.go.id,legal,法律,印度尼西亚,印度尼西亚语,印尼最高法院官网，提供判决书、法院公告、期刊及司法机构信息,yes,
